label,text
0,giảng viên tạo điều kiện làm nhiều bài tập
0,hỗ trợ thêm về các thiết bị dạy và học
0,ít giải bài tập trên lớp
1,chia sẻ
0,cần thêm các đoạn code cho các giải thuật bổ sung các phương pháp để giải quyết các bài toán liệt kê
2,thông tin đầy đủ về bài tập và các nguồn tham khảo
2,cô tận tâm   nhiệt tình   phương pháp dạy dễ hiểu
2,thầy giảng rất dễ hiểu và thú vị   thu hút
1,hướng dẫn chi tiết về cách thực hành
0,giảng viên chỉ cho đồ án và giải đáp các yêu cầu đồ án   không cung cấp tài liệu hay hướng dẫn cơ bản   sinh viên tự tìm hiểu với lý do là hệ tài năng nên cần tự xoay sở
0,môn học toàn kiến thức mới mẻ   giảng viên nên giảng chi tiết hơn
0,đến khi cuối kỳ   chỉ cần sinh viên mắc một sai sót nhỏ thì sẽ rớt môn
2,thầy dạy hay   tận tình góp ý từng bài
0,trên lớp lý thuyết giảng viên yêu cầu sinh viên phải thực hiện đồ án theo những gì mình hướng dẫn   những nhóm sinh viên bổ sung thêm những liên hệ thực tiễn đều bị cho là sai   không phù hợp với đồ án
2,thầy giảng bài hay và hiệu quả
0,chương trình dạy lý thuyết và thực hành nên khớp với nhau hơn   tránh tình trạng thực hành trước khi học lý thuyết
0,nội dung khảo sat quá dài   nhiều mục lặp đi lặp lại   nhiều bạn khảo sát mà không cần đọc   toàn tích chàn
2,dạy tốt và rất nhiệt tình chỉ dạy hoc sinh
1,bài tập rất hay
0,thầy cô cần cho nhiều dạng bài tập sát với đề thi hơn
1,mong thầy vui tính   gần gũi với sinh viên hơn
2,cung cấp kiến thức trọng tâm
2,cố gắng truyền đạt một cách tốt nhất để sinh viên được hiểu
2,giọng của giảng viên nhỏ dù đã sử dụng micro
1,dù phương pháp học tập này khá hiệu quả nhưng vẫn có chút nào đó nghi ngờ từ phần thuyết trình của các bạn   liệu các kiến thức đó có chuẩn xác và cập nhật chưa
2,giáo viên có phong cách giảng dạy nghiêm túc
2,cô rất vui tính nà   không khí lớp lúc nào cũng vui hết   cô dạy rất hay   dễ hiểu
1,giảng viên giảng dạy rất tốt   thường xuyên cung cấp thêm nhiều kiến thức
0,thậm chí còn không có bài nào khó bằng các bài trong nội dung của lớp chuyên tin ở các trường cấp
0,thầy nên có cách dạy mới cho môn học này để được kết quả tốt cho tất cả mọi người thay vì để rớt rất nhiều người
0,lịch thi thực hành cần được thông báo sớm tới sinh viên và phù hợp với thời gian môn học
2,cô nên giảng kỹ và chi tiết từng bài vì nhiều bài đa số các bạn chưa hiểu thì cô lại giảng nhanh để chuyển qua bài khác
1,dạy tốt đúng trọng tâm những gì cần biết
1,nhiệt tình   lên lớp đúng giờ   dạy dễ hiểu
0,nếu em buồn ngủ   dù lên lớp em vẫn sẽ ngủ   mà ngủ ở trên lớp thì đau lưng và tê chân lắm
2,cơ mà em học môn này em hiểu
0,thiếu kinh nghiệm truyền đạt
2,bài giảng thú vị
2,thầy nhiệt huyết và giảng bao quát đề cập đến nhiều khía cạnh của bài học vấn đề
2,giảng viên giảng bài kỹ
2,hệ thống đồ án chấm điểm theo mức độ hoàn thành của sinh viên   tạo sự ganh đua không hề nhẹ với những nhóm làm chung đồ án   kích thích sáng tạo không ngừng tìm hiểu xây dựng thêm chức năng mới cho đồ án nếu muốn được điểm cao
1,nhiệt tình   tâm huyết
0,ít chú trọng phần ngữ pháp
0,giảng viên còn chưa tận tâm   phong cách giảng dạy chưa thu hút được sinh viên
2,thầy dạy rất nhiệt tình   khi dạy thầy luôn đi tới từng sinh viên để hướng dẫn
1,cách truyền đạt kiến thức đối với em là rất hiệu quả   trao đổi bài với sinh viên   cô rất nhiệt tình
2,kiến thức rộng   kinh nghiệm thực tế nhiều   truyền cảm hứng cho sinh viên
2,cách dạy sáng tạo
2,giảng bài dễ tiếp thu
2,cô giảng bài dễ hiểu
2,điều em hài lòng nhất đó là thầy đi rất đúng giờ và không dạy quá nhanh
0,em nghĩ cần có các bài tập lớn để nâng cao khả năng lập trình của các sinh viên
2,giảng viên có phương pháp giảng dạy hay   cập nhật   phù hợp với sinh viên
0,dạy lý thuyết hơi nhiều
1,giảng viên chấm bài quy chụp theo kết quả
0,thời lượng môn học quá dài   sinh viên cảm thấy mệt mỏi
2,giảng viên vui tính dễ tương tác với sinh viên
2,nhiệt tình hay giúp đỡ sinh viên khi không biết   cho nhiều bài tập
1,thầy giảng dạy rất nhiệt tình
1,không có gì đặc biệt
0,mỗi tháng chỉ gặp giảng viên một lần rất khó cho việc học hỏi   hướng dẫn từ giáo viên
0,thầy nên chuẩn bị riêng một slide cho mình để giảng dạy   không nên lấy slide của người khác rồi đến khi sơ sót   thầy lại lấy cái lý do   đây không là slide của tôi       cái này tôi cũng không rõ nữa
0,đôi khi đi quá sâu vào một vấn đề bên lề
2,giảng viên dạy tận tâm   nhiệt tình   dễ hiểu
2,cô thật nhiệt tình
2,phòng thực hành tốt
0,nói chuyện lan man   không liên quan đến môn học quá nhiều
0,thầy bận nhiều nên cũng nghỉ nhiều   hi vọng thầy có thể sắp xếp thời gian
2,giáo viên sử dụng giờ trên lớp hiệu quả
1,thầy nhiệt tình   tận tâm giúp đỡ sinh viên
0,thầy đôi khi nói hơi khó hiểu
2,giảng viên tận tâm   nhiệt tình   hỗ trợ giải đáp thắc mắc môn học cho sinh viên
1,làm bài tập
0,cứ ngỡ được  điểm là chắc chắn rồi
0,thêm phòng thiết bị để thực hành
0,điểm
2,giáo viên tốt bụng   vui tính
2,slide quá khó hiểu   nhiều chỗ không giải thích rõ ràng   đặc biệt là các bài hướng dẫn thực hành
1,nói rõ mục tiêu cũng như các bước làm của lab   khối lượng bài tập vừa phải
0,phòng học cần lắp thêm quạt và ổ cắm vì sinh viên phải sử dụng laptop để làm bài tập   cần có thêm màn che cửa sổ để có thể theo dõi bài giảng trên slide tốt hơn
2,bài tập không cho ví dụ về nhà để xem lại
2,đầy đủ kiến thức
2,tốt giỏi chu đáo
2,tuy có phần chém gió kinh điển nhưng kiến thức   hiểu biết rộng   đặc biệt về công nghệ
2,nhiệt tình   truyền cảm hứng
2,thầy hài hước   giọng truyền cảm
0,tiết học chưa được thu hút
0,giảng viên nên thay đổi phương pháp giảng dạy để tương tác nhiều hơn với sinh viên
0,cần vào thẳng nội dung
0,thầy quá bảo thủ   thầy luôn cho rằng ý kiến của thầy là đúng nhất   ngoài ra mọi ý kiến khác đều sai
2,giảng viên tận tâm   tạo điều kiện cho học sinh làm bài tập
0,cần giải bài tập nhiều hơn
1,kiến thức thực tiễn của thầy rộng   giảng dạy vui vẻ
1,giảng dạy hay   dễ hiểu   cuốn hút sinh viên
0,cách tìm kiếm chúng ở đâu   khai thác chúng ở đâu chứ không phải là phải nhớ mấy cái phương thức hay các hàm rồi viết lên giấy vào đề thi cuối kỳ
0,những phần trọng tâm bài tập thì cũng không nói được   đây là phần quan trọng có trong đề thi các em cần chú ý
2,giáo viên giảng hay dễ hiểu
0,nhiều khi dạy quá thời gian
2,thầy vui tính   thương sinh viên   dạy dễ hiểu
2,dạy dễ hiểu   thân thiện
0,không nên tổ chức thực hành hình thức
2,giảng viên cần nắm vững xem sinh viên có hiểu được bài hay không và đưa ra phương án để sinh viên nắm vững kiến thức
2,thầy thiện nhiệt tình
2,truyền đạt thực tiễn vấn đề
1,giáo viên rất nhiệt tình và tâm huyết đối với sinh viên
2,thầy dạy khá nhiệt tình   vui tính
2,thầy dạy rất hay ạ
0,không thống nhất trước về hình thức thi và làm bài tập   đến những tuần cuối cùng mới công bố
0,nhằm giảm thời lượng giảng dạy cũng như sự thú vị khi học môn toán
2,giảng viên dạy nhiệt tình   dễ hiểu
0,em mong cô cũng như toàn thể các giảng viên hãy xem xét lại việc điểm danh vì đại học dù sao cũng là tự học chứ không phải như là phổ thông nữa
2,cô cực kỳ nhiệt huyết   cô rất dễ thương   cô yêu học trò của mình   cô cực kỳ khách quan   phong cách làm việc của cô rất giống người nước ngoài   em thích cô
2,giảng viên nhiệt tình   tận tâm với công việc   slide dễ hiểu   hoạt động học tập sôi nổi
0,chú ý giữ sức khỏe   nhất là cổ họng
2,thầy rất dễ thương
2,giảng viên nhiệt tình   thân thiện
2,thầy truyền đạt rất tận tình   dễ hiểu lượng bài tập   nội dung thi hợp lý   vừa sức với sinh viên
0,giảng viên nên đến đúng giờ hơn và cho nhiều bài tập hơn
2,em thấy những nội dung như vậy rất mơ hồ   có tính áp đặt suy nghĩ cho người học
0,cần nâng cấp máy tính trong phòng thực hành   nhiều kit de bị lỗi cần sửa chữa hoặc thay mới
2,tạo điều kiện cho sinh viên làm việc nhóm
0,phương pháp dạy chưa hay
2,dạy rất chi tiết và đầy đủ những kiến thức quan trọng
0,giọng của giảng viên rất khó nghe nên không thể nghe giảng hết những điều thầy nói
2,giảng dạy hay   nhiệt tình
2,giảng viên biết cách truyền đạt   giảng rất hay và dễ hiểu
0,dạy hơi nhiều   và hơi nhanh
2,nên tạo không khí thoải mái cho tiết học để sinh viên dễ hiểu bài và thêm yêu thích môn học của giảng viên
2,giảng dạy tận tâm
1,giảng viên không có tính hài hước
2,thầy vui tính   giảng bài hay   đưa nhiều thông tin thực tế vào bài giảng
2,thẩy wzjwz rất vui và nhiệt tình
2,giáo viên giảng dạy lôi cuốn
0,thầy dạy hơi chậm
2,lần được học thầy   thấm nhiều thứ quá
0,nhiều phần trong slide bài giảng của giảng viên không chính xác
2,dạy dễ hiểu   sâu rộng
2,giáo viên rất nhiệt tình đối với sinh viên
2,cảm thấy hứng thú khi lên lớp
2,nhiều lúc thầy vẫn nói lý thuyết nhiều gây nhàm chán
2,phần kiểm tra   thi cử đối với môn này nên đề cao tính tư duy logic của người học cũng như khả năng áp dụng kiến thức đã học vào thực tế thực nghiệm bằng cách chủ yếu đánh giá cao phần thực hành   viết code   làm project
2,do môn còn mới nên nhiều vấn đề trục trặc trong quá trình thực hành thầy vẫn chưa giải quyết được   nhưng vẫn rất ủng hộ thầy
2,luôn đảm bảo giờ giấc trong tiết học
0,nội dung môn học còn khô   cứng
0,có lúc dạy khó hiểu
2,thầy cho bài tập lạ   đa dạng
0,sau khi đã học xong môn nhập môn điện tử   em thiết nghĩ môn học này cần có thêm những phần học về thực tế   để sinh viên chúng em có thêm động lực khi học những phần lý thuyết đôi khi   khô khan   và   xa lạ   đồng thời sẽ tạo được sự đam mê với bộ môn điện tử nói chung ngay từ những ngày đầu học   nhập môn
2,giáo viên vui tính   tích cực
1,thầy dạy nghiêm túc
2,cơ sở dữ liệu năm nay đã kết hợp với thiết kế cơ sở dữ liệu rồi   kiến thức nhiều mà thi có phần trắc nghiệm nữa thì đánh giá kiến thức học được chưa đảm bảo cho lắm ạ
1,nội dung có liên hệ nhiều với thực tế
2,giảng viên có nhiều phương pháp giảng hay
2,cô giảng rất hay   rất nhiệt tình khi giảng dạy   rất vui tính
1,giáo viên luôn chia sẻ những ứng dụng của kiến thức đã học với thực tiễn   chia sẻ khá nhiều kinh nghiệm thực tế vô cùng bổ ích với sinh viên
2,em thấy rất hài lòng về môn học này   nên em không có ý kiến gì khác cả
2,cô vui tính   dạy tốt
2,nhiệt tình   giỏi hay giúp đỡ sinh viên và cho nhiều bài tập
2,tôi đã thấy giảng viên chỉ nhìn qua chưa đầy  giây và cho điểm  ngay lập tức
2,phòng thực hành nên nâng cấp máy tính
0,mong muốn giảng viên nào cũng áp dụng như vậy thì quá tốt
0,giảng viên cần chuẩn bị giáo án trước khi đến lớp   giảng viên diễn đạt không tốt cần phải học cách diễn đạt cho sinh viên dễ hiểu
0,cần học môn lập trình trực quan trước
0,làm tốn thời gian truyền đạt   dẫn đến hứng thú lên lớp nghe giảng bị hạn chế
2,thầy dạy tốt   giảng dễ hiểu
1,mở rộng kiến thức nâng cao cho sinh viên
0,chưa có thời gian cho sinh viên ngẫm nghĩ điều mình mới học mà đã qua nội dung khác để theo kịp chương trình
2,dạy dễ hiểu
2,thầy vui vẻ   thoải mái
2,thầy tận tâm   dạy dễ hiểu   vui tính   lớp học thoải mái dễ tiếp thu
2,em thích học môn này với cô wzjwz
2,cô tận tình hướng dẫn chỉ bảo
0,cập nhật điểm thi giữa kỳ chậm   nên sinh viên không biết mức độ phấn đấu như thế nào
2,giảng dạy tận tâm   nhiệt tình   dễ hiểu
1,đôi khi trong giờ học kể vài chuyện về đời để đỡ chán
0,thầy không vui tính
0,cần có sách học hay   chi tiết   hiệu quả   smile
0,nội dung lý thuyết và thực hành của môn học không có bất kỳ liên hệ gì với nhau nội dung lý thuyết không phù hợp với môn học và không tạo được sự quan tâm và mong muốn của sinh viên về kiến thức quản trị mạng như mong đợi
0,cần có khả năng truyền đạt tốt hơn
2,giáo viên truyền đạt kiến thức đầy đủ   dễ hiểu   nhiệt tình giảng dạy
2,không có giáo trình
2,giảng dạy dễ hiểu   linh động trong nhiều bài tập
2,giảng viên giảng dạy tận tình   vui vẻ giúp học viên nhận thức được nhiều kiến thức
2,cải thiện chất lượng phòng máy thực hành
2,thoải mái về thời gian
0,em còn chưa thấy mặt thầy nữa   hoặc có nhưng quên rồi
0,các nội dung môn học thầy triển khai không đúng theo khung   mới vào mà thầy dạy servlet thì rất khó hiểu   sinh viên có góp ý qua thầy chủ nhiệm nhưng vẫn không thay đổi
1,mọi việc điều được sinh viên tự học   tự tìm hiểu thông qua các trang mạng   thông qua việc email trực tiếp với giảng viên
0,slide bài giảng còn lẫn lộn anh việt   phần tiếng việt thì giảng viên lại dùng gogle dịch nên đọc không hiểu
2,cô rất nhiệt tình và thân thiện với sinh viên
0,cần cho nhiều thời gian để sinh viên có đủ thời gian hoàn thành đồ án môn học
2,thầy rất vui tính   truyền tải thông tin tuyệt vời
0,hy vọng thầy sẽ cải tiến làm cho hoạt động sôi nổi hơn
1,thầy khá nhiệt huyết và gần gủi với sinh viên
1,bài tập khắt khe
0,theo thời khóa biểu hiện nay thì học thực hành trước nên sinh viên lúc thực hành chưa hiểu vấn đề nên khó khăn trong việc làm bài
2,tài liệu tiếng anh gây khó khăn cho ôn thi
2,giảng dạy tận tình   vui vẻ
0,cần nâng cao chất lượng trang thiết bị
2,giảng viên vui tính   thân thiện
0,đầu tư các thiết bị cho sinh viên mượn   như điện thoại android   windows phone
1,thầy dạy tốt và tâm huyết
2,phần máy tính không hỗ trợ cho việc học nhiều   chỉ làm sinh viên phân tán
2,đó là tiền của họ   họ muốn dùng thì tùy họ   người khác nghèo không phải lỗi của họ   chưa kể tiền thuế họ đóng góp cho nước cũng đủ để gọi là xây dựng rồi
2,giảng viên dạy tận tình   cung cấp đầy đủ kiến thức cho sinh viên
0,cần tăng thời gian học
0,nên tổ chức thêm những buổi hội thảo liên quan đến nội dung môn học
0,nên trang bị trang thiết bị cho phòng thực hành và phòng lab để sinh viên có thể thực hành và học trực tiếp trên thiết bị thật
2,thầy giảng dạy rất nhiệt tình và vui tính
2,bài giảng thực tế
2,kiến thức thầy dạy rất hay và bổ ích
0,nói sâu về vấn đề khó
2,thầy lên lớp không đúng giờ giấc   thường xuyên đi trễ
0,chất lượng phòng máy kém
1,giáo viên giảng dạy sử dụng nhiều ví dụ thực tiễn
0,cần tuân thủ đúng và đủ giờ
2,thầy rất nhiệt tình và năng động   học thầy có thêm nhiều kiến thức mới không chỉ gói gọn trong nội dung môn học
0,thầy giảng nhanh và cách truyền đạt hơi khó hiểu   đưa ra khá ít ví dụ để sinh viên có thể hiểu bài rõ hơn
0,điện thoại không liên lạc được
1,chưa học nhiều với thầy nên chưa có ý kiến gì về thầy
0,nội dung thực hành nên thay đổi   mỗi tuần thực hành các phần lý thuyết trên lớp và giảng viên hướng dẫn làm đồ án cuối kỳ
2,giảng viên tăng cường giải đề của các năm
2,thiếu thiết bị thật để thực hành
2,nhiệt tình giúp đỡ sinh viên
1,giảng bài rất dễ hiểu
0,em nghĩ cơ sở vật chất vẫn còn yếu kém   ngồi xa không thể nhìn rõ được slide bài giảng của cô giáo   phòng học rất nóng
1,thầy giải nhiều bài tập cho sinh viên giúp sinh viên củng cố kiến thức sau khi học lý thuyết
0,cần có các thiết bị di động thật để sinh viên thực hành khi cần thiết   vì các chương trình mô phỏng trên máy tính là không đầy đủ
1,thầy dạy hay   nhiệt tình   không bao chê bai sinh viên dù mặc dù không tốt mà hướng sinh viên đến suy nghĩ tích cực hơn   cố gắng hơn
2,giảng dạy nhiệt tình   quan tâm tới sinh viên
0,cần tăng chú ý về kỹ năng cần thiết trong toeic như nghe   đọc
0,kính mong giảng viên có thể cho thêm nhiều bài tập nhằm giúp sinh viên luyện tập   nắm bắt nội dung môn học và vận dụng nó hiệu quả hơn   giúp ích cho việc học các môn sau này
2,giúp sinh viên cảm thấy thoải mái trong giờ học
2,cô giảng dạy tận tình
2,kiến thức nhiều   khó tiếp thu   phân loại chưa rõ
0,thầy nên cho thêm bài tập về nhà
2,những điều này nghe tưởng chừng không liên quan đến môn học   nhưng lại giúp cho sinh viên phần nào có định hướng được công việc tương lai của mình
0,em học ở phòng mà bên cạnh là công trình đang thi công   khá là ồn ào   vì thế khi học đến phần nghe   em không thể nghe được gì   và bài nghe bị gián đoạn
0,thầy không sửa bài tập   trên lớp thầy chỉ giảng lý thuyết theo em như thế là ít có hiệu quả
0,thầy ít quan tâm
0,không dùng điểm để đánh giá   nó làm sinh viên không dám thực hiện
2,không khí lớp học thì không được sôi nổi
0,bài tập thực hành mỗi tuần hơi khó   mong rằng ở mỗi bài tập giảng viên có thể cung cấp bài giải kỹ càng để sinh viên có thể nghiên cứu và hiểu được cách làm
1,thầy rất thoáng và thoải mái
0,thầy cần có tương tác với sinh viên qua mail hay modle vì có đôi lúc có thắc mắc nhưng thầy không phản hồi
1,kiến thức đơn giản
1,giảng viên giảng dạy theo đúng thời gian môn học
